X,Y,id,XCOORD,YCOORD
-183188.596110606653383,-2319539.316502522677183,0,-183188.596111,-2319539.316503
-183155.58813759352779,-2319548.485383915249258,0,-183155.588138,-2319548.485384
-183223.437859898200259,-2319537.4827262442559,1,-183223.437860,-2319537.482726
-183129.915269694465678,-2319568.656922978814691,0,-183129.915270,-2319568.656923
-183104.242401795403566,-2319592.49601459922269,0,-183104.242402,-2319592.496015
-183080.403310174850048,-2319616.335106219630688,0,-183080.403310,-2319616.335106
-183069.400652503827587,-2319636.506645283196121,0,-183069.400653,-2319636.506645
-183047.395337161782663,-2319658.511960625182837,0,-183047.395337,-2319658.511961
-183021.722469262720551,-2319689.686157359741628,0,-183021.722469,-2319689.686157
-183001.550930199155118,-2319717.192801537457854,0,-183001.550930,-2319717.192802
-182979.545614857110195,-2319742.865669436752796,0,-182979.545615,-2319742.865669
-182955.706523236556677,-2319770.37231361400336,0,-182955.706523,-2319770.372314
-182933.70120789448265,-2319794.21140523487702,0,-182933.701208,-2319794.211405
-182920.864773944951594,-2319818.050496855285019,0,-182920.864774,-2319818.050497
-182897.025682324398076,-2319843.7233647541143,0,-182897.025682,-2319843.723365
-182884.18924837486702,-2319876.731337767560035,0,-182884.189248,-2319876.731338
-182878.687919539370341,-2319902.404205666389316,0,-182878.687920,-2319902.404206
-182862.183933032822097,-2319924.409521008376032,0,-182862.183933,-2319924.409521
-182843.846170247765258,-2319944.581060071941465,0,-182843.846170,-2319944.581060
-182831.009736298234202,-2319966.586375413928181,0,-182831.009736,-2319966.586375
-182821.840854905720335,-2319995.926795870065689,0,-182821.840855,-2319995.926796
-182831.009736298234202,-2320036.269873997196555,0,-182831.009736,-2320036.269874
-182831.009736298234202,-2320063.776518174912781,0,-182831.009736,-2320063.776518
-182832.843512576742796,-2320093.116938631050289,0,-182832.843513,-2320093.116939
-182836.511065133759985,-2320115.122253973037004,0,-182836.511065,-2320115.122254
-182838.344841412268579,-2320151.797779543325305,0,-182838.344841,-2320151.797780
-182842.012393969256664,-2320182.971976277884096,0,-182842.012394,-2320182.971976
-182847.513722804782446,-2320208.644844176713377,0,-182847.513723,-2320208.644844
-182847.513722804782446,-2320234.31771207600832,0,-182847.513723,-2320234.317712
-182849.347499083291041,-2320270.993237645830959,0,-182849.347499,-2320270.993238
-182854.84882791878772,-2320300.333658101968467,0,-182854.848828,-2320300.333658
-182865.851485589839285,-2320322.338973443955183,0,-182865.851486,-2320322.338973
-182880.521695817849832,-2320337.009183672256768,0,-182880.521696,-2320337.009184
-182895.191906045889482,-2320360.848275292664766,0,-182895.191906,-2320360.848275
-182913.529668830946321,-2320377.352261799387634,0,-182913.529669,-2320377.352262
-182926.366102780477377,-2320386.521143191494048,0,-182926.366103,-2320386.521143
-182933.70120789448265,-2320408.526458533946425,0,-182933.701208,-2320408.526459
-182953.872746958048083,-2320421.362892483361065,0,-182953.872747,-2320421.362892
-182970.376733464596327,-2320439.700655268505216,0,-182970.376733,-2320439.700655
-182981.379391135618789,-2320454.370865496341139,0,-182981.379391,-2320454.370865
-183003.384706477663713,-2320472.708628281485289,0,-183003.384706,-2320472.708628
-183023.556245541229146,-2320489.212614787742496,0,-183023.556246,-2320489.212615
-183036.392679490760202,-2320509.384153851307929,0,-183036.392679,-2320509.384154
-183051.062889718770748,-2320527.721916636452079,0,-183051.062890,-2320527.721917
-183069.400652503827587,-2320540.558350585866719,0,-183069.400653,-2320540.558351
-183067.566876225318993,-2320553.394784535747021,0,-183067.566876,-2320553.394785
-183091.40596784587251,-2320566.231218485161662,0,-183091.405968,-2320566.231218
-183107.909954352420755,-2320582.73520499188453,0,-183107.909954,-2320582.735205
-183124.413940858968999,-2320599.239191498141736,0,-183124.413941,-2320599.239191
-183146.419256201013923,-2320613.909401726443321,0,-183146.419256,-2320613.909402
-183181.261005492589902,-2320624.912059397436678,0,-183181.261005,-2320624.912059
-183208.767649670160608,-2320635.914717068430036,0,-183208.767650,-2320635.914717
-183234.44051756922272,-2320645.083598461002111,0,-183234.440518,-2320645.083598
-183256.445832911296748,-2320652.418703574687243,0,-183256.445833,-2320652.418704
-183278.451148253341671,-2320661.587584967259318,0,-183278.451148,-2320661.587585
-183311.459121266409056,-2320667.088913802988827,0,-183311.459121,-2320667.088914
-183331.630660329974489,-2320667.088913802988827,0,-183331.630660,-2320667.088914
-183366.472409621550469,-2320665.255137524567544,0,-183366.472410,-2320665.255138
-183392.145277520612581,-2320665.255137524567544,0,-183392.145278,-2320665.255138
-183421.485697976691881,-2320665.255137524567544,0,-183421.485698,-2320665.255138
-183445.324789597245399,-2320665.255137524567544,0,-183445.324790,-2320665.255138
-183470.997657496307511,-2320667.088913802988827,0,-183470.997657,-2320667.088914
-183496.670525395369623,-2320665.255137524567544,0,-183496.670525,-2320665.255138
-183520.509617015923141,-2320663.4213612456806,0,-183520.509617,-2320663.421361
-183540.681156079488574,-2320667.088913802988827,0,-183540.681156,-2320667.088914
-183568.18780025705928,-2320665.255137524567544,0,-183568.187800,-2320665.255138
-183592.026891877612798,-2320659.753808688838035,0,-183592.026892,-2320659.753809
-183615.865983498166315,-2320656.086256131995469,0,-183615.865983,-2320656.086256
-183641.538851397228427,-2320667.088913802988827,0,-183641.538851,-2320667.088914
-183659.876614182285266,-2320667.088913802988827,0,-183659.876614,-2320667.088914
-183694.718363473861245,-2320661.587584967259318,0,-183694.718363,-2320661.587585
-183722.225007651431952,-2320656.086256131995469,0,-183722.225008,-2320656.086256
-183747.897875550494064,-2320648.751151017844677,0,-183747.897876,-2320648.751151
-183766.235638335550902,-2320645.083598461002111,0,-183766.235638,-2320645.083598
-183784.573401120578637,-2320634.080940790008754,0,-183784.573401,-2320634.080941
-183812.080045298149344,-2320619.410730561707169,0,-183812.080045,-2320619.410731
-183835.919136918702861,-2320608.408072890713811,0,-183835.919137,-2320608.408073
-183852.423123425251106,-2320597.405415219720453,0,-183852.423123,-2320597.405415
-183868.92710993179935,-2320588.236533827148378,0,-183868.927110,-2320588.236534
-183885.431096438347595,-2320573.566323599312454,0,-183885.431096,-2320573.566324
-183903.76885922337533,-2320568.064994763582945,0,-183903.768859,-2320568.064995
-183918.43906945141498,-2320564.397442206740379,0,-183918.439069,-2320564.397442
-183936.776832236471819,-2320557.062337092589587,0,-183936.776832,-2320557.062337
-183953.280818742990959,-2320540.558350585866719,0,-183953.280819,-2320540.558351
-183975.286134085064987,-2320520.386811522301286,0,-183975.286134,-2320520.386812
-183997.29144942710991,-2320511.217930130194873,0,-183997.291449,-2320511.217930
-184015.629212212166749,-2320502.049048737622797,0,-184015.629212,-2320502.049049
-184033.966974997194484,-2320485.54506223089993,0,-184033.966975,-2320485.545062
-184041.302080111228861,-2320467.20729944575578,0,-184041.302080,-2320467.207299
-184061.47361917476519,-2320458.038418053183705,0,-184061.473619,-2320458.038418
-184068.808724288770463,-2320437.866878989618272,0,-184068.808724,-2320437.866879
-184090.814039630844491,-2320419.529116204939783,0,-184090.814040,-2320419.529116
-184098.149144744849764,-2320390.188695748802274,0,-184098.149145,-2320390.188696
-184105.484249858884141,-2320368.183380406815559,0,-184105.484250,-2320368.183380
-184120.154460086923791,-2320355.346946456935257,0,-184120.154460,-2320355.346946
-184134.824670314934338,-2320342.510512507520616,0,-184134.824670,-2320342.510513
-184154.996209378499771,-2320327.840302279684693,0,-184154.996209,-2320327.840302
-184169.666419606539421,-2320315.003868329804391,0,-184169.666420,-2320315.003868
-184184.336629834579071,-2320287.497224152553827,0,-184184.336630,-2320287.497224
-184186.170406113087665,-2320256.323027417995036,0,-184186.170406,-2320256.323027
