X,Y,id,snl2,XCOORD,YCOORD,x
-185081.630293571623042,-2325794.063883959315717,0,,-185081.630294,-2325794.063884,-185081.6302935716
-185058.109245519415708,-2325782.68273167591542,0,,-185058.109246,-2325782.682732,-185058.1092455194
-185038.381914894969668,-2325772.819066363852471,0,,-185038.381915,-2325772.819066,-185038.3819148950
-185020.930814727209508,-2325765.990374993532896,0,,-185020.930815,-2325765.990375,-185020.9308147272
-185006.514688501658384,-2325759.920427109114826,0,,-185006.514689,-2325759.920427,-185006.5146885017
-184991.339818790555,-2325752.332992253825068,0,,-184991.339819,-2325752.332992,-184991.3398187906
-184976.923692565003876,-2325746.263044369406998,0,,-184976.923693,-2325746.263044,-184976.9236925650
-184961.748822853900492,-2325740.193096484988928,0,,-184961.748823,-2325740.193096,-184961.7488228539
-184949.608927085006144,-2325734.881892086006701,0,,-184949.608927,-2325734.881892,-184949.6089270850
-184941.262748743902193,-2325724.259483288042247,0,,-184941.262749,-2325724.259483,-184941.2627487439
-184932.916570402798243,-2325713.637074490543455,0,,-184932.916570,-2325713.637074,-184932.9165704028
-184923.052905090589775,-2325705.290896149352193,0,,-184923.052905,-2325705.290896,-184923.0529050906
-184907.878035379486391,-2325699.979691750369966,0,,-184907.878035,-2325699.979692,-184907.8780353795
-184894.220652639487525,-2325693.151000380516052,0,,-184894.220653,-2325693.151000,-184894.2206526395
-184883.598243841697695,-2325687.839795981533825,0,,-184883.598244,-2325687.839796,-184883.5982438417
-184870.699604587280191,-2325684.046078553888947,0,,-184870.699605,-2325684.046079,-184870.6996045873
-184853.248504419490928,-2325681.011104611679912,0,,-184853.248504,-2325681.011105,-184853.2485044195
-184843.38483910728246,-2325681.011104611679912,0,,-184843.384839,-2325681.011105,-184843.3848391073
-184832.003686823969474,-2325679.493617640342563,0,,-184832.003687,-2325679.493618,-184832.0036868240
-184819.863791055075126,-2325678.73487415490672,0,,-184819.863791,-2325678.734874,-184819.8637910551
